QP;LIB_QP;LIST_COMARR_2020;Pop_2013
QP095021;Centre Ville;95427;2468
QP095022;Mare Des Noues;9521995252;1079
QP095023;Montédour;95252;1687
QP095024;Les Naquettes;95306;1151
QP095025;Les Frances;95424;2962
QP095026;Clos Saint Pierre Elargi;95488;1339
QP095027;Bas Des Aulnaies - Carreaux Fleuris - Fontaine Bertin;9525295582;4726
QP095028;Les Pins;95607;1016
QP095029;Les Sarments Et Les Nérins;95607;1055
QP095030;Cottage Elargi;95280;1976
QP095031;Grandes Bornes Elargies;95280;8210
QP095032;Dame Blanche;95268;30892
QP095033;Lochères;95585;35912
QP095034;Carreaux - Fauconnière - Marronniers - Pôle Gare;950199527795680;15243
QP095035;Saint Blin;95277;1036
QP095036;Rosiers Chantepie;95585;4267
QP095037;Village - Mozart;95585;2802
QP095038;Village - Le Puits La Marlière - Derrière Les Murs De Monseigneur;95680;15355
QP095039;Les Chênes;95219;2479
QP095040;Le Village;95487;3131
QP095041;Les Raguenets;95555;2681
QP971001;Boissard-Morne Flory;97101;4138
QP971002;Vieux Bourg - Les Lauriers;9710197120;4407
QP971003;Grand Camp;9710197120;11037
QP971004;Cour Charneau-Raizet;97101;2681
QP971005;Raizet;97101;4955
QP971006;Bourg - Saint Robert - Cadet - Bois Raimbault- Jean Jaurès;97104;3119
QP971007;Bologne - Rivière Des Pères - Calebassier - Pintade - Chevalier Saint Georges - Mallian;97105;1951
QP971008;Le Bourg;97107;3739
QP971009;Sarlassone Petit Pérou;97107;2969
QP971010;Bananier - Haute Plaine;97107;1806
QP971011;Champ Grille 2;97117;1716
QP971012;Le Bourg;97117;2546
QP971013;Mortenol;97120;1547
QP971014;Chemin Neuf Carénage Darboussier;9710197120;5373
QP971015;Le Bourg;97129;4197
QP971016;La Boucan;97129;2737
QP972001;Quartiers Ouest;97209;12062
QP972002;Quartiers Sainte-Thérèse – Bon Air;97209;4721
QP972003;Quartier Volga Plage;97209;3276
QP972004;Quartier Haut Dillon;97209;2237
QP972005;Frange Ouest Du Centre-Ville Aggloméré;97213;1840
QP972006;Zone De Cité Lacroix Trou Terre Pointe Lynch;97222;1748
QP972007;Tombolo City;97228;1432
QP973001;Anatole;97302;1699
QP973002;Bonhomme;97302;1850
QP973003;Pasteur Voltaire;97302;1288
QP973004;Cabassou;97302;3497
QP973005;De Gaulle;97302;2661
QP973006;Eau Lisette;97302;1055
QP973007;Galmot;97302;1789
QP973008;Village Chinois;97302;3005
QP973009;Mango;97302;1919
QP973010;Mirza;97302;1106
QP973011;Mont Baduel;97302;5681
QP973012;Centre-Ville Marché;97302;2061
QP973013;Thémire;97302;2401
QP973014;Eldo;97304;4104
QP973015;L'Anse;97304;2485
QP973016;Mairie-Bourg;97304;8286
QP973017;Soula;97305;3689
QP973018;Tonate;97305;3054
QP973019;Balata;97307;2316
QP973020;Cotonnière;97307;2796
QP973021;Cogneau Est;97307;9146
QP973022;Le Grand Larivot;97307;1635
QP973023;Sud Bourg;97307;2959
QP973024;Mahury-Dedrad Des Cannes;97309;538
QP973025;Résidence Arc En Ciel Alizées;97309;1442
QP973026;Lot Tarzan;97309;678
QP973027;Balate-Charbonnière;97311;4730
QP973028;Centre Ville;97311;3111
QP973029;Fatima - Route De Mana;97311;4711
QP973030;RN1-Les Sables Blancs;97311;9155
QP973031;Saint-Jean;97311;3740
QP973032;Saint-Maurice;97311;5815
QP974001;Le Gol;97414;2996
QP974002;Centre Ville;97414;8732
QP974003;La Rivière;97414;1467
QP974004;Roche Maigre;97414;3534
QP974005;Bois de Nèfles Cocos;97414;2137
QP974006;Cayenne - Butor - Les Quais;97412;2832
QP974007;Centre Ville - Cités;97412;2053
QP974008;Langevin;97412;1131
QP974009;Bois D'Olives;97416;2364
QP974010;Ravine Des Cabris;97416;2990
QP974011;Ravine Blanche;97416;3796
QP974012;Basse Terre  -  Joli Fond;97416;6106
QP974013;Terre Sainte;97416;3002
QP974014;Condé -  La Concession;97416;1290
QP974015;Le Verger - La Découverte;97418;2192
QP974016;Gaspard - La Réserve;97418;1983
QP974017;4ème Couronne;97407;4511
QP974018;1ère et 2ème Couronne;97407;23426
QP974019;Coeur De Saint-Laurent;97408;1006
QP974020;Cressonnière - Manguiers;97409;2042
QP974021;Centre Ville;97409;6171
QP974022;Petit Bazar - Chemin Du Centre - Fayard;97409;4534
QP974023;Cambuston Centre;97409;1214
QP974024;Sainte-Anne;97410;1324
QP974025;Rive Droite de Saint-Benoît;97410;11491
QP974026;Le Bas De La Rivière;97411;1221
QP974027;Le Bas Maréchal Leclerc;97411;2899
QP974028;Le Butor;97411;789
QP974029;Vauban;97411;1700
QP974030;La Source - Bellepierre;97411;1263
QP974031;Les Camélias;97411;2337
QP974032;Sainte Clotilde - Le Chaudron;97411;18444
QP974033;Moufia Les Bas;97411;1926
QP974034;Primat;97411;993
QP974035;Moufia Les Hauts;97411;1442
QP974036;Portail - Bois De Nèfles;97413;4415
QP974037;Plateau Caillou Centre;97415;2005
QP974038;Fleurimont;97415;1363
QP974039;Eperon;97415;1496
QP974040;Grande Fontaine;97415;2419
QP974041;Savanna Kayamb  -  Corbeil Bout De L'Etang;97415;1174
QP974042;Périphérie Du Centre Ville;97415;1547
QP974043;Bel Air Centre Ville Village Desprez;97420;2151
QP974044;Bagatelle;97420;1168
QP974045;La Châtoire;97422;1998
QP974046;Les Trois Mares;97422;1411
QP974047;Les Araucarias;97422;2349
QP974048;Centre-ville;97422;1798
QP974049;Domenjod;97411;895
QP976001;Quartier Prioritaire Du Village De Acoua;97601;3319
QP976002;Quartier Prioritaire De M'tsangadoua;97601;1379
QP976003;Quartier Prioritaire De Dzoumogné;97602;3673
QP976004;Quartier Prioritaire Du Village De Bandraboua;97602;2380
QP976005;Quartier Prioritaire De Bouyouni;97602;1304
QP976006;Quartier Prioritaire Du Village De Bandrélé;97603;3233
QP976007;Quartier Prioritaire De M'tsamoudou;97603;1616
QP976008;Quartier Prioritaire De Nyambadao;97603;1160
QP976009;Quartier Prioritaire Du Village De Bouéni;97604;2475
QP976010;Quartier Prioritaire Du Village De Chiconi;97605;5775
QP976011;Quartier Prioritaire De Poroani - Mréréni;97606;3336
QP976012;Quartier Prioritaire Du Village De Chirongui;97606;1609
QP976013;Quartier Prioritaire De Tsararano;97607;3070
QP976014;Quartier Prioritaire Du Village De Dembéni;97607;2355
QP976015;Quartier Prioritaire D'Iloni;97607;2067
QP976016;Quartier Prioritaire D'Ongoujou;97607;1224
QP976017;Quartier De La Vigie;97608;2970
QP976018;Quartier Prioritaire Du Village De Kani Kéli;97609;1882
QP976019;Quartier Prioritaire De Choungui;97609;784
QP976020;Quartier Prioritaire De Majicavo Koropa;97610;9130
QP976021;Quartier Prioritaire Du Village De Koungou;97610;7727
QP976022;Quartier Prioritaire De Longoni;97610;3783
QP976023;Quartier Prioritaire De Kawéni;97611;12127
QP976024;Quartier Prioritaire De M'tsapéré - Cavani - M'Gombani;97611;22664
QP976025;Quartier Prioritaire Du Village De M'tsamboro;97612;3323
QP976026;Quartier Prioritaire De M'tsahara;97612;2596
QP976027;Quartier Prioritaire Du Village De M'tsangamouji;97613;3994
QP976028;Quartier Prioritaire De Chembenyoumba;97613;1921
QP976029;Quartier Prioritaire De Barakani;97614;3729
QP976030;Quartier Prioritaire De Kahani;97614;2295
QP976031;Quartier Prioritaire Du Village De Ouangani;97614;3295
QP976032;Quartier De La Vigie;97615;2250
QP976033;Quartier Prioritaire Du Village De Sada;97616;8798
QP976034;Quartier Prioritaire De Combani - Mroalé;97617;5168
QP976035;Quartier Prioritaire De Miréréni;97617;2527
QP976036;Quartier Prioritaire Du Village De Tsingoni;97617;2643
